what,kind,bundleId,bundleVersion,description,time
activated,editor,org.ebayopensource.vjet.eclipse.ui,1.0.0.201105260911,"org.ebayopensource.vjet.ui.VjetJsEditor",1324843936232
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.perspectives.showPerspective",1324843936296
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaBrowsingPerspective",1324843936296
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1324843938521
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.perspectives.showPerspective",1324843938526
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1324843938526
activated,perspective,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.JavaPerspective",1324843940719
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.perspectives.showPerspective",1324843940737
executed,command,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.JavaPerspective",1324843940737
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1324843946632
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1324843950473
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1324843950482
started,bundle,com.google.gdt.eclipse.designer.wizards,2.4.2.r36x201110181249,"com.google.gdt.eclipse.designer.wizards",1324843950530
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1324843950673
error,log,,,"Failed to update action org.chromium.debug.ui.actions.LiveEditWizardAction",1324843950673
error,log,,,"Failed to update action org.chromium.debug.ui.actions.LiveEditWizardAction",1324843950674
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1324843950674
error,log,,,"Failed to update action org.chromium.debug.ui.actions.PushChangesAction",1324843950675
error,log,,,"Failed to update action org.chromium.debug.ui.actions.PushChangesAction",1324843950675
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1324843950676
error,log,,,"Failed to update action org.chromium.debug.ui.actions.BeautifySourceAction",1324843950676
error,log,,,"Failed to update action org.chromium.debug.ui.actions.BeautifySourceAction",1324843950677
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1324843950693
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1324843951858
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1324843951869
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324843953578
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1324843956733
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1324843956733
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324843956799
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1324843965623
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1324843965639
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.perspectives.showPerspective",1324843965652
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1324843965652
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324843977079
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324843984252
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1324843984330
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1324843984331
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1324843984332
started,bundle,org.eclipse.cdt.dsf.ui,2.1.2.201102110609,"org.eclipse.cdt.dsf.ui",1324843984423
error,log,,,"An internal error occurred during: ""Launching Debug-Test-II"".",1324843984623
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324843984829
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324843992052
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1324843993753
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Terminate",1324843993805
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.1.R36x_v20100901,"org.eclipse.equinox.p2.artifact.repository",1324844002422
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.0.3.R36x_v20101202,"org.eclipse.equinox.p2.touchpoint.eclipse",1324844002454
